ID,CAT01,CAT02,CAT03,CODE,DESC01,DESC02,DELETED_TF
ef4b66a6-7ca5-418f-89f0-e7561dd2ab60,COMPANY,,,SKC,SKC,,false
8d2e6f1c-ef31-4e07-b513-1d928b01fa7a,COMPANY,,,SKMR,SK Materials,,false
40031c75-aa90-4e64-aaae-d09965b8d444,COMPANY,,,SKENS,SK E&S,,false
7e207eb0-b941-4b05-a0b1-beef9b93661b,COMPANY,,,SKGAS,SK GAS,,false
d24bb058-8753-40ef-9d6b-fb6b7704b17b,COMPANY,SUBSIDARY,,SKC-KSKC,KSKC,,false
02c4c30b-4563-423f-aee6-b9eecd3b8cb4,COMPANY,SUBSIDARY,,SKC-MCNS,MCNS,,false
09516a2a-242a-49ac-baa3-b0e39dd7f5be,COMPANY,SUBSIDARY,,SKC-SKCJV,PIC Global,,false
e25a5a26-4884-45c6-99f0-2c192301f563,COMPANY,SUBSIDARY,,SKC-HTNM,HTNM,,false
0c45d3a8-27c9-4c71-97d4-1b156d8129f4,APPLICATION,TYPE,,ERP,ERP,,false
43ab5243-56cf-450b-bf1d-d08d89ba246a,APPLICATION,TYPE,,WEB,Web System,,false
35805275-0df5-43f0-b34a-a52825ec764c,APPLICATION,TYPE,,ETC,ETC,,false
fbf9e33a-9ca2-400e-b4eb-c7409671680c,INTERFACE,STATUS,,Active,사용중,,false
ce028720-b127-47d7-b0a0-d0f9d8a48228,INTERFACE,STATUS,,Inactive,미사용,,false
cbd055bf-daaf-44a3-8d7f-ccb6c635df95,INTERFACE,DIRECTION,,Consumer,서비스 소비측,,false
15ce67fd-a286-4a8e-b5c2-d5e0f718f237,INTERFACE,DIRECTION,,Provider,서비스 제공측,,false
6dac7ea1-c5a5-42c1-8a50-082435a5af0d,INTERFACE,PROTOCOL,,HTTP,HTTP,,false
7e35a54f-cd9d-4f3f-9b1f-ce7a0ab024f5,INTERFACE,PROTOCOL,,SOAP,SOAP,,false
de9cd8df-0a98-461f-913c-c7ded7ad9052,INTERFACE,PROTOCOL,,FTP,FTP,,false
2506c01b-8e6d-46d0-93cd-a6295776c8cb,INTERFACE,PROTOCOL,,SFTP,SFTP,,false
6c8e938a-ced4-4035-b14b-d14c71e9fd8f,INTERFACE,PROTOCOL,,RFC,RFC,,false
33e3690a-226a-4104-93e0-6fd1ce474d34,INTERFACE,EXECUTION,,REALTIME,Realtime,,false
f9d46a82-bd49-4cf0-b344-cc4ea30b213c,INTERFACE,EXECUTION,,BATCH,Batch,,false
927c931c-5679-45a0-8031-afc4272f0857,BATCH,EXECUTION,,DAY,특정일 지정,,false
ab14e7ee-ce6b-479a-898d-99a314dd3c71,BATCH,EXECUTION,,RECUR,주기 반복,,false
ae0b469b-37c9-4283-bfe3-df5326618ddc,BATCH,CYCLE,,ONTIME,특정시간 지정,,false
f3443b2e-bd07-44d7-8425-f93e60783f26,BATCH,CYCLE,,EVERY,반복 주기 지정,,false
9fdd4117-fa46-40f0-8273-65cd5c4b2598,BATCH,TIMEINTERVAL,,1SEC,1초,,false
400f5112-d3fa-4ad8-bd41-62da89287555,BATCH,TIMEINTERVAL,,5SEC,5초,,false
2006265c-4142-4831-a1a1-27a3a59228ca,BATCH,TIMEINTERVAL,,10SEC,10초,,false
a70bc122-0a88-4c4c-958a-67937afb92a2,BATCH,TIMEINTERVAL,,15SEC,15초,,false
ebbcfaef-2794-4619-a348-1c47ea9ea813,BATCH,TIMEINTERVAL,,30SEC,30초,,false
d4e0e987-7d73-49f9-b8ab-bc6eeaf7f1e1,BATCH,TIMEINTERVAL,,1MIN,1분,,false
d6b51ee6-165e-4f31-8136-ff5fc67db090,BATCH,TIMEINTERVAL,,5MIN,5분,,false
36b02424-54f9-4424-a4a3-c9ad39d704e3,BATCH,TIMEINTERVAL,,10MIN,10분,,false
0beb5f84-486c-4f9a-9e0d-44d8a8ef68af,BATCH,TIMEINTERVAL,,15MIN,15분,,false
2443494f-2ae1-4267-97ea-dbb87aa2adb5,BATCH,TIMEINTERVAL,,20MIN,20분,,false
10b0aebd-dc3d-4e91-93ec-184dad480d53,BATCH,TIMEINTERVAL,,30MIN,30분,,false
0918a09f-0729-4873-9344-e4cd096026f7,BATCH,TIMEINTERVAL,,1HR,1시간,,false
7aa7d41c-26e0-4f20-817c-998896e360b7,BATCH,TIMEINTERVAL,,2HR,2시간,,false
0e67df4a-79e8-423e-8092-4e7a17579499,BATCH,TIMEINTERVAL,,3HR,3시간,,false
9ac43725-cd05-418f-93a7-9f301aac5c74,BATCH,TIMEINTERVAL,,4HR,4시간,,false
f980d4a1-d5b6-4025-a866-f4b0e867f952,BATCH,TIMEINTERVAL,,6HR,6시간,,false
275f2d22-c338-4050-99cf-c94314d244c6,BATCH,TIMEINTERVAL,,8HR,8시간,,false
9e6209da-f14d-4c15-8d02-5a9f80d91e24,BATCH,TIMEINTERVAL,,12HR,12시간,,false
16969abf-f492-4ff0-9c88-4600c9daabe8,BATCH,RECUR,,DAILY,매일,,false
e34f31ee-75ff-4238-914d-f74e1e2c5f0b,BATCH,RECUR,,WEEKLY,매주,,false
25178111-f582-4a2a-aca5-a768a79a9828,BATCH,RECUR,,MONTHLY,매년,,false
